"timeNumber","timePoint","Biomass_Estimated_corr","Biomass_Estimated","genotype","geno.decomp","colId","rowId","plotId"
5,2017-04-17,0.702074972899926,0.729484593402231,"GenoA48","WW_Panel1","19","20","c19r20"
5,2017-04-17,NA,NA,"GenoA44","WW_Panel1","2","20","c2r20"
5,2017-04-17,NA,NA,"GenoA58","WD_Panel1","20","20","c20r20"
5,2017-04-17,NA,NA,"GenoA36","WD_Panel1","21","20","c21r20"
5,2017-04-17,NA,NA,"GenoA26","WW_Panel1","22","20","c22r20"
5,2017-04-17,NA,NA,"GenoA57","WW_Panel1","23","20","c23r20"
5,2017-04-17,-0.00605655172915964,0.192896190255634,"GenoA16","WD_Panel1","24","20","c24r20"
5,2017-04-17,0.932008482104857,1.16377093199694,"GenoA18","WW_Panel1","25","20","c25r20"
5,2017-04-17,NA,NA,"GenoA55","WW_Panel1","26","20","c26r20"
5,2017-04-17,NA,NA,"GenoB14","WD_Panel2","27","20","c27r20"
5,2017-04-17,NA,NA,"GenoA53","WD_Panel1","28","20","c28r20"
5,2017-04-17,NA,NA,"GenoA52","WW_Panel1","3","20","c3r20"
5,2017-04-17,NA,NA,"GenoA30","WD_Panel1","4","20","c4r20"
5,2017-04-17,NA,NA,"GenoA1","WW_Panel1","5","20","c5r20"
5,2017-04-17,0.454002926578927,0.0423485780403463,"GenoA29","WW_Panel1","6","20","c6r20"
5,2017-04-17,NA,NA,"GenoB28","WD_Panel2","7","20","c7r20"
5,2017-04-17,NA,NA,"GenoA30","WD_Panel1","8","20","c8r20"
